Resolution,Similarity,Time
10,0.2766531485049442,2.3317086696624756
1,1,3.4280500411987305
2,0.652145815111097,2.5327258110046387
5,0.3188266073055305,2.3960232734680176
10,0.18212111705743117,2.307950258255005
1,1,3.4982945919036865
2,0.24996185146169414,2.800372362136841
5,0.039969144409844747,2.458467483520508
10,0.009972291006521559,2.4342455863952637
1,1,3.4261581897735596
2,0.24995790608004578,2.611116409301758
5,0.03996817699651462,2.52095627784729
10,0.00997204963715041,2.312008857727051
1,1,3.0956244468688965
2,0.7050763183092215,2.3317856788635254
5,0.4738435009830297,1.9687676429748535
10,0.32804449774824074,2.068420171737671
1,1,3.480177164077759
2,0.24995790608004578,2.376293897628784
5,0.03996817699651462,2.196148157119751
10,1.749482392482528e-4,2.1597914695739746
1,1,3.0280303955078125
2,0.25012150948483525,2.4252419471740723
5,0.03996390783963822,2.269963502883911
10,1.4818197714641711e-5,2.211756467819214
1,1,2.9187889099121094
2,0.008512071523701793,2.265561103820801
5,0.05323384087929818,2.3913917541503906
10,0.21336231285307564,2.3721365928649902
1,1,3.3502047061920166
2,0.5074446647528641,2.6394705772399902
5,0.09162772549541108,2.2366487979888916
10,0.2975676173321826,2.301443338394165
1,1,3.2062249183654785
2,0.24983919970530533,2.4148802757263184
5,0.039888865922000596,2.299722909927368
10,0.00992862430007125,2.2229926586151123
1,1,3.3060033321380615
2,0.8038055226061768,2.5945608615875244
5,0.3836944991665404,2.3091347217559814
10,0.1669167693110715,2.418208360671997
1,1,2.988584041595459
2,0.788007317286832,2.1025032997131348
5,0.5531375688003881,2.1513888835906982
10,0.03323841134933561,2.00345778465271
1,1,3.1922459602355957
2,0.8120915612511076,2.452176809310913
5,0.6349690135064855,2.3993489742279053
10,0.5550297730266945,2.2881078720092773
1,1,2.915134906768799
2,0.24975024568499826,2.385615825653076
5,0.03960055586866688,2.1572933197021484
10,0.009782637446259587,2.2236993312835693
1,1,3.3243658542633057
2,0.75487900528465,2.5672926902770996
5,0.4262118730219957,2.367551565170288
10,0.2604008721503234,2.3772330284118652
1,1,3.1278510093688965
2,0.24995790608004578,2.4947338104248047
5,0.03996817699651462,2.2449655532836914
10,0.00997204963715041,2.42905592918396
1,1,3.4404380321502686
2,0.793217236665619,2.613722562789917
5,0.4836149416578269,2.2590954303741455
10,0.2393524632860956,2.352630853652954
1,1,3.443636417388916
2,0.5863886866437645,2.625669240951538
5,0.26933926878477704,2.416038751602173
10,0.18007107152360236,2.281660318374634
1,1,3.364431381225586
2,0.24995790608004578,2.4030423164367676
5,0.03996817699651462,2.2934927940368652
10,0.00997204963715041,2.321619749069214
1,1,3.3524584770202637
2,0.7237016551329326,2.5357186794281006
5,0.4512003834331307,2.0031490325927734
10,0.21911798354488538,2.353753089904785
1,1,3.4414660930633545
2,0.7242485372211399,2.601121425628662
5,0.4015929301957488,2.4511547088623047
10,0.23115067576186057,2.396390676498413
1,1,3.3763678073883057
2,0.2500797666520863,2.028139114379883
5,0.040001670748785516,1.9681470394134521
10,0.009964160118066247,2.122497320175171
1,1,3.4434871673583984
2,0.8668315750211895,2.647704839706421
5,0.6367624306096861,2.5118377208709717
10,0.46250914363595286,2.423344850540161
1,1,3.4485692977905273
2,0.4566883456824386,2.5262811183929443
5,0.19624880198301153,2.4016530513763428
10,0.13034774778956984,2.244252920150757
1,1,2.8404200077056885
2,0.25003774417267455,2.2169137001037598
5,1.8328112477703333e-4,2.207294225692749
10,8.44627381306124e-5,2.1074142456054688
1,1,3.650339365005493
2,0.7699596214072839,2.518918037414551
5,0.38302836288326514,2.405330181121826
10,0.0968891662231358,2.34942889213562
1,1,3.0517356395721436
2,0.6323232039861988,2.522085666656494
5,0.27643467641267544,2.3750970363616943
10,0.1413584615501825,2.1405773162841797
1,1,3.547253131866455
2,0.9565128450314804,2.571103096008301
5,0.016299612516788367,2.4220190048217773
